subject,label,atlas_vol_L_mm3,atlas_vol_R_mm3,warped_vol_L_mm3,warped_vol_R_mm3,VPI_left,VPI_right,VPI_tier,LR_ratio,symmetry_tier,cross_subject_CV
IXI016-Guys-0697,PuA,167.0,169.0,133.95,120.23,0.802,0.711,IYI,1.114,SIMETRIK,0.078
IXI002-Guys-0828,PuI,59.0,62.0,40.08,48.52,0.679,0.783,ORTA,0.826,SIMETRIK,0.174
IXI012-HH-1211,PuI,59.0,62.0,55.9,62.23,0.947,1.004,IYI,0.898,SIMETRIK,0.174
IXI013-HH-1212,PuI,59.0,62.0,37.97,51.68,0.644,0.834,ORTA,0.735,HAFIF_ASIM,0.174
IXI015-HH-1258,PuI,59.0,62.0,58.01,52.73,0.983,0.851,IYI,1.1,SIMETRIK,0.174
IXI016-Guys-0697,PuI,59.0,62.0,44.3,35.86,0.751,0.578,IYI,1.235,SIMETRIK,0.174
IXI002-Guys-0828,PuL,388.0,397.0,291.09,297.42,0.75,0.749,IYI,0.979,SIMETRIK,0.063
IXI012-HH-1211,PuL,388.0,397.0,346.99,364.92,0.894,0.919,IYI,0.951,SIMETRIK,0.063
IXI013-HH-1212,PuL,388.0,397.0,307.97,329.06,0.794,0.829,IYI,0.936,SIMETRIK,0.063
IXI015-HH-1258,PuL,388.0,397.0,310.08,305.86,0.799,0.77,IYI,1.014,SIMETRIK,0.063
IXI016-Guys-0697,PuL,388.0,397.0,296.37,277.38,0.764,0.699,IYI,1.068,SIMETRIK,0.063
IXI002-Guys-0828,PuM,1832.0,1833.0,1197.07,1258.24,0.653,0.686,ORTA,0.951,SIMETRIK,0.079
IXI012-HH-1211,PuM,1832.0,1833.0,1453.36,1527.19,0.793,0.833,IYI,0.952,SIMETRIK,0.079
IXI013-HH-1212,PuM,1832.0,1833.0,1439.65,1525.08,0.786,0.832,IYI,0.944,SIMETRIK,0.079
IXI015-HH-1258,PuM,1832.0,1833.0,1463.91,1370.04,0.799,0.747,IYI,1.069,SIMETRIK,0.079
IXI016-Guys-0697,PuM,1832.0,1833.0,1282.5,1221.33,0.7,0.666,IYI,1.05,SIMETRIK,0.079
IXI002-Guys-0828,Pv,7.0,7.0,4.22,5.27,0.603,0.753,ORTA,0.8,SIMETRIK,0.211
IXI012-HH-1211,Pv,7.0,7.0,6.33,6.33,0.904,0.904,IYI,1.0,SIMETRIK,0.211
IXI013-HH-1212,Pv,7.0,7.0,6.33,5.27,0.904,0.753,IYI,1.2,SIMETRIK,0.211
IXI015-HH-1258,Pv,7.0,7.0,8.44,10.55,1.205,1.507,IYI,0.8,SIMETRIK,0.211
IXI016-Guys-0697,Pv,7.0,7.0,6.33,8.44,0.904,1.205,IYI,0.75,SIMETRIK,0.211
IXI002-Guys-0828,RN,382.0,384.0,375.47,377.58,0.983,0.983,IYI,0.994,SIMETRIK,0.069
IXI012-HH-1211,RN,382.0,384.0,352.27,333.28,0.922,0.868,IYI,1.057,SIMETRIK,0.069
IXI013-HH-1212,RN,382.0,384.0,367.03,364.92,0.961,0.95,IYI,1.006,SIMETRIK,0.069
IXI015-HH-1258,RN,382.0,384.0,427.15,420.82,1.118,1.096,IYI,1.015,SIMETRIK,0.069
IXI016-Guys-0697,RN,382.0,384.0,362.81,387.07,0.95,1.008,IYI,0.937,SIMETRIK,0.069
IXI002-Guys-0828,SG,59.0,58.0,34.8,35.86,0.59,0.618,ORTA,0.971,SIMETRIK,0.12
IXI012-HH-1211,SG,59.0,58.0,43.24,47.46,0.733,0.818,IYI,0.911,SIMETRIK,0.12
IXI013-HH-1212,SG,59.0,58.0,45.35,45.35,0.769,0.782,IYI,1.0,SIMETRIK,0.12
IXI015-HH-1258,SG,59.0,58.0,47.46,36.91,0.804,0.636,IYI,1.286,HAFIF_ASIM,0.12
IXI016-Guys-0697,SG,59.0,58.0,50.62,46.41,0.858,0.8,IYI,1.091,SIMETRIK,0.12
IXI002-Guys-0828,STh,239.0,236.0,237.3,215.16,0.993,0.912,IYI,1.103,SIMETRIK,0.047
IXI012-HH-1211,STh,239.0,236.0,240.47,219.38,1.006,0.93,IYI,1.096,SIMETRIK,0.047
IXI013-HH-1212,STh,239.0,236.0,221.48,219.37,0.927,0.93,IYI,1.01,SIMETRIK,0.047
IXI015-HH-1258,STh,239.0,236.0,255.24,242.58,1.068,1.028,IYI,1.052,SIMETRIK,0.047
IXI016-Guys-0697,STh,239.0,236.0,247.85,221.48,1.037,0.938,IYI,1.119,SIMETRIK,0.047
IXI002-Guys-0828,VAmc,74.0,76.0,58.01,48.52,0.784,0.638,IYI,1.196,SIMETRIK,0.1
IXI012-HH-1211,VAmc,74.0,76.0,67.5,47.46,0.912,0.624,IYI,1.422,HAFIF_ASIM,0.1
IXI013-HH-1212,VAmc,74.0,76.0,63.28,53.79,0.855,0.708,IYI,1.176,SIMETRIK,0.1
IXI015-HH-1258,VAmc,74.0,76.0,53.79,61.17,0.727,0.805,IYI,0.879,SIMETRIK,0.1
