,label,atlas_mm3,vol_left_mean,vol_right_mean,retention_pct,lr_ratio_mean,lr_ratio_std,mirror_err_mean,compactness_mean,t1_outlier_mean,gradient_mean,bbox_fill_mean,consist_score,loo_dsc,quality_score,tier1_n,tier2_n,tier3_n,tier1_pct,dominant_tier
28,SG,59.0,36.0,37.8,62.54,0.978,0.20680909070928194,1.1800000000000002,0.8437999999999999,0.0988,0.3144,0.41180000000000005,0.8240000000000001,0.518,0.6672,5,0,0,100,TIER-1
29,Li,81.0,40.4,45.2,52.86,0.898,0.06496152707564684,1.4600000000000002,0.721,0.054400000000000004,0.6542,0.213,0.635,0.536,0.636,4,1,0,80,TIER-1
30,AM,50.0,31.8,26.2,58.0,1.216,0.23233596363886497,1.24,0.784,0.0762,0.6912,0.28700000000000003,0.718,0.479,0.6332,5,0,0,100,TIER-1
31,LGNmc,77.0,65.4,63.8,83.9,1.024,0.13575713609236165,1.3800000000000001,0.5212,0.0962,0.49000000000000005,0.19319999999999998,0.826,0.378,0.6048,2,3,0,40,TIER-2
32,VAmc,74.0,56.0,53.2,73.8,1.0719999999999998,0.23615672761960432,1.2,0.6125999999999999,0.045,0.2346,0.21600000000000003,0.868,0.368,0.5868,2,3,0,40,TIER-2
33,Hb,51.0,27.4,28.6,54.92,0.9780000000000001,0.16037456157383567,1.3,0.8336,0.09459999999999999,0.8806,0.3484,0.622,0.45,0.5732,1,4,0,20,TIER-2
34,mtt,57.0,38.8,47.0,75.28,0.8219999999999998,0.19214577799160726,0.9,0.6106,0.05600000000000001,0.21939999999999998,0.1648,0.8379999999999999,0.329,0.4446,0,2,3,0,TIER-3
35,Pv,7.0,5.6,3.8,67.14,16000000001.366001,35777087639.23302,1.35,0.9846,0.08,0.5266,0.37160000000000004,0.266,0.233,0.35059999999999997,0,0,5,0,TIER-3
36,AD,9.0,6.0,3.4,52.220000000000006,2.916,2.7493690185204316,1.78,0.7726,0.11100000000000002,0.575,0.5028,0.359,0.187,0.292,0,0,5,0,TIER-3
37,sPf,14.0,13.0,10.8,85.0,1.2799999999999998,0.4580938768418543,1.0,0.8556000000000001,0.0824,0.1726,0.10939999999999998,0.807,0.219,0.292,0,0,5,0,TIER-3
38,MV,16.0,9.4,6.4,49.36,1.58,0.6572670690061992,1.1199999999999999,0.8417999999999999,0.08280000000000001,0.8434000000000001,0.2444,0.566,0.24500000000000002,0.25179999999999997,0,0,5,0,TIER-3
